object,n_stable,n_eff,pmax,isotropy,tv_long,tv_mid,tv_short,tv_max,long_mm,degenerate
Sapota_Threshold_4_Ceramic_Round_Planter_Red,15,8.2,0.28,0.91,0.24,0.67,0.92,0.92,105.7,True
Schleich_African_Black_Rhino,5,3.2,0.45,0.32,0.53,0.71,0.33,0.71,144.3,False
Schleich_Allosaurus,7,3.2,0.5,0.28,0.6,0.62,0.15,0.62,236.6,False
Schleich_Bald_Eagle,8,5.2,0.31,0.63,0.36,0.23,0.26,0.36,107.1,False
Schleich_Hereford_Bull,3,2.3,0.47,0.36,0.53,0.96,0.63,0.96,139.8,False
Schleich_Lion_Action_Figure,6,4.1,0.37,0.38,0.11,0.67,0.22,0.67,131.5,False
Schleich_S_Bayala_Unicorn_70432,4,2.5,0.46,0.34,0.54,0.9,0.31,0.9,172.7,False
Schleich_Spinosaurus_Action_Figure,5,2.7,0.45,0.32,0.52,0.31,0.2,0.52,274.9,False
Schleich_Therizinosaurus_ln9cruulPqc,4,3.6,0.34,0.45,0.5,0.41,0.22,0.5,254.9,False
Sea_to_Summit_Xl_Bowl,2,2.0,0.57,0.23,0.05,0.01,0.05,0.05,190.5,False
Seagate_1TB_Backup_Plus_portable_drive_Blue,2,2.0,0.51,0.16,0.01,0.05,0.07,0.07,138.3,False
Seagate_1TB_Backup_Plus_portable_drive_Silver,3,2.1,0.5,0.16,0.03,0.06,0.07,0.07,135.3,False
Seagate_1TB_Backup_Plus_portable_drive_for_Mac,4,2.2,0.48,0.17,0.05,0.05,0.11,0.11,136.4,False
Seagate_1TB_Wireless_Plus_mobile_device_storage,3,2.1,0.5,0.18,0.53,0.06,0.05,0.53,151.1,False
Seagate_3TB_Central_shared_storage,2,1.9,0.58,0.19,0.13,0.17,0.19,0.19,257.4,False
Seagate_Archive_HDD_8_TB_Internal_hard_drive_SATA_6Gbs_35_ST8000AS0002,5,2.5,0.45,0.26,0.04,0.1,0.18,0.18,167.3,False
Shurtape_30_Day_Removal_UV_Delct_15,2,2.0,0.5,0.38,0.29,0.3,0.1,0.3,125.7,False
Shurtape_Gaffers_Tape_Silver_2_x_60_yd,4,2.2,0.47,0.37,0.3,0.29,0.12,0.3,160.7,False
Shurtape_Tape_Purple_CP28,8,3.0,0.41,0.46,0.4,0.37,0.19,0.4,126.3,False
Sleep_Optimizer,4,2.4,0.46,0.2,0.01,0.09,0.1,0.1,153.5,False
Smith_Hawken_Woven_BasketTray_Organizer_with_3_Compartments_95_x_9_x_13,6,3.7,0.39,0.62,0.23,0.51,0.13,0.51,416.0,False
Snack_Catcher_Snack_Dispenser,9,6.9,0.22,0.7,0.55,0.48,0.64,0.64,139.9,False
Sonicare_2_Series_Toothbrush_Plaque_Control,7,4.5,0.3,0.53,0.07,0.1,0.16,0.16,265.6,False
Sony_Acid_Music_Studio,7,2.8,0.42,0.24,0.08,0.09,0.12,0.12,214.1,False
Sony_Downloadable_Loops,5,2.5,0.44,0.21,0.06,0.15,0.13,0.15,238.8,False
Sorry_Sliders_Board_Game,5,2.4,0.47,0.19,0.06,0.12,0.12,0.12,432.0,False
Spritz_Easter_Basket_Plastic_Teal,13,6.3,0.28,0.91,0.53,0.52,0.48,0.53,199.3,True
Star_Wars_Rogue_Squadron_Nintendo_64,3,2.2,0.49,0.24,0.07,0.1,0.1,0.1,131.6,False
Sterilite_Caddy_Blue_Sky_17_58_x_12_58_x_9_14,7,5.5,0.26,0.53,0.7,0.34,0.11,0.7,464.4,False
Super_Mario_3D_World_Deluxe_Set,2,2.0,0.56,0.19,0.05,0.28,0.12,0.28,269.0,False
Super_Mario_3D_World_Deluxe_Set_yThuvW9vZed,3,2.1,0.49,0.14,0.49,0.51,0.07,0.51,483.2,False
Super_Mario_3D_World_Wii_U_Game,2,2.0,0.51,0.08,0.02,0.01,0.02,0.02,200.9,False
Super_Mario_Kart_Super_Nintendo_Entertainment_System,2,2.0,0.53,0.17,0.05,0.08,0.1,0.1,150.3,False
Supernatural_Ouija_Board_Game,3,2.1,0.5,0.18,0.07,0.05,0.07,0.07,431.4,False
Swiss_Miss_Hot_Cocoa_KCups_Milk_Chocolate_12_count,6,5.5,0.2,0.9,0.09,0.2,0.19,0.2,162.9,True
Target_Basket_Medium,6,5.8,0.22,0.74,0.15,0.17,0.13,0.17,358.9,True
Tena_Pads_Heavy_Long_42_pads,5,2.7,0.43,0.34,0.07,0.1,0.17,0.17,392.1,False
Tetris_Link_Game,7,3.2,0.39,0.27,0.09,0.09,0.1,0.1,390.8,False
The_Coffee_Bean_Tea_Leaf_KCup_Packs_Jasmine_Green_Tea_16_count,6,5.3,0.25,0.61,0.14,0.14,0.22,0.22,206.9,False
Theanine,19,15.0,0.12,0.56,0.28,0.81,0.83,0.83,103.8,True
Thomas_Friends_Woodan_Railway_Henry,4,3.3,0.37,0.23,0.56,0.47,0.37,0.56,184.7,False
Thomas_Friends_Wooden_Railway_Ascending_Track_Riser_Pack,4,2.6,0.46,0.18,0.12,0.14,0.13,0.14,441.9,False
Thomas_Friends_Wooden_Railway_Porter_5JzRhMm3a9o,4,2.9,0.41,0.51,0.37,0.34,0.23,0.37,92.0,False
Threshold_Bamboo_Ceramic_Soap_Dish,7,4.0,0.39,0.42,0.15,0.1,0.25,0.25,124.5,False
Threshold_Bead_Cereal_Bowl_White,2,1.9,0.64,0.43,0.55,0.53,0.07,0.55,178.2,False
Threshold_Bistro_Ceramic_Dinner_Plate_Ruby_Ring,2,2.0,0.52,0.13,0.0,0.0,0.02,0.02,289.0,False
Threshold_Dinner_Plate_Square_Rim_White_Porcelain,2,2.0,0.54,0.11,0.01,0.0,0.02,0.02,332.8,False
Threshold_Porcelain_Coffee_Mug_All_Over_Bead_White,5,3.5,0.42,0.88,0.47,1.0,0.25,1.0,135.9,True
Threshold_Porcelain_Pitcher_White,5,3.0,0.48,0.51,0.27,0.92,0.46,0.92,328.7,False
Threshold_Porcelain_Serving_Bowl_Coupe_White,2,1.9,0.61,0.34,0.47,0.46,0.06,0.47,218.7,False
Threshold_Porcelain_Spoon_Rest_White,7,4.3,0.38,0.34,0.62,0.94,0.58,0.94,245.0,False
Threshold_Porcelain_Teapot_White,11,6.9,0.28,0.84,0.63,0.68,0.78,0.78,170.1,True
Threshold_Ramekin_White_Porcelain,8,3.1,0.43,0.63,0.43,0.4,0.24,0.43,121.4,False
Threshold_Salad_Plate_Square_Rim_Porcelain,2,2.0,0.55,0.11,0.01,0.01,0.02,0.02,286.0,False
Threshold_Tray_Rectangle_Porcelain,2,2.0,0.55,0.13,0.0,0.01,0.03,0.03,333.8,False
Top_Paw_Dog_Bow_Bone_Ceramic_13_fl_oz_total,4,2.3,0.51,0.42,0.37,0.37,0.16,0.37,193.7,False
Top_Paw_Dog_Bowl_Blue_Paw_Bone_Ceramic_25_fl_oz_total,4,2.3,0.47,0.44,0.38,0.33,0.12,0.38,160.8,False
Travel_Mate_P_series_Notebook,5,3.2,0.43,0.26,0.32,0.31,0.06,0.32,504.3,False
Travel_Smart_Neck_Rest_Inflatable,5,2.8,0.42,0.24,0.07,0.14,0.2,0.2,189.5,False
TriStar_Products_PPC_Power_Pressure_Cooker_XL_in_Black,12,8.8,0.17,0.87,0.37,0.57,0.6,0.6,338.4,True
Tune_Belt_Sport_Armband_For_Samsung_Galaxy_S3,5,2.8,0.43,0.27,0.04,0.08,0.1,0.1,237.3,False
Twinlab_100_Whey_Protein_Fuel_Chocolate,11,9.7,0.16,0.59,0.88,0.92,0.79,0.92,285.0,True
Twinlab_100_Whey_Protein_Fuel_Cookies_and_Cream,9,7.7,0.19,0.6,0.34,0.89,0.85,0.89,263.8,False
Twinlab_100_Whey_Protein_Fuel_Vanilla,9,8.0,0.19,0.59,0.43,0.9,0.76,0.9,267.4,False
Twinlab_Nitric_Fuel,19,14.8,0.14,0.54,0.38,0.74,0.87,0.87,120.8,True
Twinlab_Premium_Creatine_Fuel_Powder,19,16.1,0.1,0.54,0.27,0.85,0.87,0.87,118.9,True
U_By_Kotex_Cleanwear_Heavy_Flow_Pads_32_Ct,6,5.4,0.23,0.6,0.08,0.1,0.08,0.1,197.5,False
U_By_Kotex_Sleek_Regular_Unscented_Tampons_36_Ct_Box,6,5.4,0.23,0.67,0.08,0.1,0.09,0.1,157.1,False
Ultra_JarroDophilus,8,6.0,0.22,0.69,0.2,0.18,0.23,0.23,128.4,False
Unmellow_Yellow_Tieks_Neon_Patent_Leather_Ballet_Flats,9,6.0,0.27,0.35,0.45,0.38,0.34,0.45,250.5,False
Utana_5_Porcelain_Ramekin_Large,10,3.8,0.39,0.62,0.47,0.53,0.41,0.53,137.2,False
VANS_FIRE_ROASTED_VEGGIE_CRACKERS_GLUTEN_FREE,7,3.5,0.37,0.3,0.12,0.22,0.12,0.22,247.8,False
Vans_Cereal_Honey_Nut_Crunch_11_oz_box,3,2.2,0.5,0.32,0.06,0.12,0.15,0.15,304.5,False
Victor_Reversible_Bookend,5,4.2,0.31,0.37,0.18,0.39,0.08,0.39,330.0,False
WHALE_WHISTLE_6PCS_SET,4,2.6,0.54,0.57,0.86,1.0,0.25,1.0,78.6,False
Weston_No_22_Cajun_Jerky_Tonic_12_fl_oz_nLj64ZnGwDh,20,15.0,0.16,0.32,0.97,0.89,0.8,0.97,207.9,True
Weston_No_33_Signature_Sausage_Tonic_12_fl_oz,20,15.4,0.13,0.31,0.55,0.89,0.9,0.9,207.1,True
Whey_Protein_3_Flavor_Variety_Pack_12_Packets,7,6.4,0.24,0.58,0.14,0.14,0.14,0.14,213.2,False
Whey_Protein_Chocolate_12_Packets,7,5.6,0.25,0.62,0.09,0.09,0.08,0.09,169.6,False
Whey_Protein_Vanilla,12,9.3,0.2,0.7,0.52,0.82,0.78,0.82,179.8,True
Whey_Protein_Vanilla_12_Packets,6,5.4,0.25,0.59,0.1,0.1,0.08,0.1,182.3,False
Wilton_Easy_Layers_Cake_Pan_Set,5,2.7,0.45,0.21,0.07,0.07,0.09,0.09,246.1,False
Wilton_Pearlized_Sugar_Sprinkles_525_oz_Gold,13,11.5,0.11,0.38,0.35,0.46,0.65,0.65,142.0,True
Wilton_PreCut_Parchment_Sheets_10_x_15_24_sheets,4,4.0,0.27,0.25,0.29,0.22,0.17,0.29,284.0,False
Winning_Moves_1180_Aggravation_Board_Game,4,2.4,0.46,0.13,0.03,0.06,0.12,0.12,526.1,False
Womens_Multi_13,19,17.0,0.08,0.55,0.36,0.76,0.8,0.8,121.4,True
Wrigley_Orbit_Mint_Variety_18_Count,6,2.9,0.41,0.2,0.04,0.1,0.05,0.1,254.4,False
Xyli_Pure_Xylitol,20,17.9,0.1,0.72,0.58,0.78,0.79,0.79,166.5,True
YumYum_D3_Liquid,7,5.7,0.25,0.47,0.29,0.31,0.55,0.55,107.6,False
